type, size, time, gflop
float, 2000, 0.015756, 1015.515941
float, 2000, 0.015634, 1023.415163
float, 2000, 0.015636, 1023.285959
float, 2000, 0.015782, 1013.837745
float, 2000, 0.015884, 1007.309986
float, 2000, 0.015563, 1028.082722
float, 2000, 0.015460, 1034.933334
float, 2000, 0.015486, 1033.171455
float, 3000, 0.040109, 1346.325239
float, 3000, 0.040882, 1320.859527
float, 3000, 0.039859, 1354.789282
float, 3000, 0.040512, 1332.929242
float, 3000, 0.039769, 1357.847100
float, 3000, 0.040041, 1348.609887
float, 3000, 0.039983, 1350.568353
float, 3000, 0.040947, 1318.778351
float, 4000, 0.089154, 1435.710064
float, 4000, 0.085917, 1489.812898
float, 4000, 0.086034, 1487.785871
float, 4000, 0.085908, 1489.961622
float, 4000, 0.087586, 1461.416036
float, 4000, 0.089058, 1437.262843
float, 4000, 0.090372, 1416.363309
float, 4000, 0.085929, 1489.596697
float, 5000, 0.167319, 1494.153863
float, 5000, 0.166793, 1498.865811
float, 5000, 0.167889, 1489.075200
float, 5000, 0.166804, 1498.769313
float, 5000, 0.167050, 1496.556645
float, 5000, 0.168559, 1483.163059
float, 5000, 0.167011, 1496.903768
float, 5000, 0.167327, 1494.081641
float, 6000, 0.277444, 1557.073480
float, 6000, 0.278022, 1553.832394
float, 6000, 0.277840, 1554.850488
float, 6000, 0.277167, 1558.627092
float, 6000, 0.278494, 1551.200324
float, 6000, 0.278202, 1552.828420
float, 6000, 0.277828, 1554.919844
float, 6000, 0.278512, 1551.099269
float, 7000, 0.431010, 1591.608882
float, 7000, 0.431448, 1589.994206
float, 7000, 0.431007, 1591.623180
float, 7000, 0.432042, 1587.807567
float, 7000, 0.431639, 1589.292660
float, 7000, 0.431568, 1589.552427
float, 7000, 0.431964, 1588.096745
float, 7000, 0.431886, 1588.381582
float, 8000, 0.634368, 1614.205218
float, 8000, 0.633806, 1615.636267
float, 8000, 0.634400, 1614.122973
float, 8000, 0.634366, 1614.210093
float, 8000, 0.634486, 1613.904557
float, 8000, 0.633586, 1616.196126
float, 8000, 0.633681, 1615.954819
float, 8000, 0.633567, 1616.244609
float, 9000, 0.901471, 1617.355803
float, 9000, 0.902361, 1615.761389
float, 9000, 0.901758, 1616.840939
float, 9000, 0.901767, 1616.825256
float, 9000, 0.901136, 1617.958004
float, 9000, 0.901689, 1616.965140
float, 9000, 0.902213, 1616.026575
float, 9000, 0.901942, 1616.512104
float, 10000, 1.247132, 1603.679504
float, 10000, 1.246749, 1604.171569
float, 10000, 1.247125, 1603.688392
float, 10000, 1.245441, 1605.856680
float, 10000, 1.246273, 1604.784819
float, 10000, 1.248031, 1602.523951
float, 10000, 1.246614, 1604.346239
float, 10000, 1.247880, 1602.718850
float, 11000, 1.641170, 1622.013504
float, 11000, 1.640041, 1623.130634
float, 11000, 1.640723, 1622.455366
float, 11000, 1.638969, 1624.191756
float, 11000, 1.639997, 1623.173560
float, 11000, 1.640009, 1623.161920
float, 11000, 1.641316, 1621.869323
float, 11000, 1.641739, 1621.451433
float, 12000, 2.135750, 1618.166782
float, 12000, 2.140303, 1614.724631
float, 12000, 2.140290, 1614.734656
float, 12000, 2.141354, 1613.932362
float, 12000, 2.141516, 1613.809889
float, 12000, 2.138000, 1616.464069
float, 12000, 2.136964, 1617.247989
float, 12000, 2.148649, 1608.452593
float, 13000, 2.704380, 1624.771598
float, 13000, 2.708416, 1622.350307
float, 13000, 2.703605, 1625.237621
float, 13000, 2.701828, 1626.306037
float, 13000, 2.704304, 1624.817489
float, 13000, 2.702908, 1625.656443
float, 13000, 2.701966, 1626.223473
float, 13000, 2.704641, 1624.614837
float, 14000, 3.356579, 1634.997799
float, 14000, 3.356811, 1634.885002
float, 14000, 3.356928, 1634.828219
float, 14000, 3.354602, 1635.961733
float, 14000, 3.357319, 1634.637543
float, 14000, 3.354278, 1636.119785
float, 14000, 3.355364, 1635.590055
float, 14000, 3.354734, 1635.897038
float, 15000, 4.176970, 1616.003764
float, 15000, 4.174920, 1616.797336
float, 15000, 4.181359, 1614.307560
float, 15000, 4.171378, 1618.170280
float, 15000, 4.178975, 1615.228793
float, 15000, 4.174232, 1617.063750
float, 15000, 4.168599, 1619.249092
float, 15000, 4.168459, 1619.303367
float, 16000, 5.016880, 1632.887349
float, 16000, 5.017347, 1632.735320
float, 16000, 5.015616, 1633.298798
float, 16000, 5.017386, 1632.722612
float, 16000, 5.015214, 1633.429744
float, 16000, 5.016674, 1632.954543
float, 16000, 5.016746, 1632.931109
float, 16000, 5.017647, 1632.637912
float, 17000, 6.021406, 1631.844801
float, 17000, 6.022328, 1631.595067
float, 17000, 6.020862, 1631.992267
float, 17000, 6.021210, 1631.898034
float, 17000, 6.021110, 1631.924953
float, 17000, 6.018837, 1632.541296
float, 17000, 6.021767, 1631.746841
float, 17000, 6.021068, 1631.936485
float, 18000, 7.166270, 1627.624863
float, 18000, 7.147301, 1631.944797
float, 18000, 7.151225, 1631.049184
float, 18000, 7.148924, 1631.574290
float, 18000, 7.141517, 1633.266481
float, 18000, 7.156810, 1629.776472
float, 18000, 7.150520, 1631.210034
float, 18000, 7.150829, 1631.139624
float, 19000, 8.433019, 1626.700861
float, 19000, 8.430180, 1627.248723
float, 19000, 8.434771, 1626.363144
float, 19000, 8.430525, 1627.182194
float, 19000, 8.431537, 1626.986894
float, 19000, 8.430453, 1627.196158
float, 19000, 8.434496, 1626.416065
float, 19000, 8.431500, 1626.993998
float, 20000, 9.862239, 1622.349703
float, 20000, 9.860524, 1622.631746
float, 20000, 9.858082, 1623.033725
float, 20000, 9.860282, 1622.671661
float, 20000, 9.858741, 1622.925244
float, 20000, 9.890390, 1617.731913
float, 20000, 9.892818, 1617.334989
float, 20000, 9.860241, 1622.678473